target,horizon,mse,r2,scope
prospect_temp_1h_average_c,3,2.0359217000606393,0.8823706373402018,suburb
campbelltown_west_temp_1h_average_c,1,0.5747781625490933,0.9688981496165099,suburb
campbelltown_west_temp_1h_average_c,3,2.0117267335434863,0.8912062911518336,suburb
camden_temp_1h_average_c,1,0.7756006089227163,0.965019059346802,suburb
camden_temp_1h_average_c,3,2.556038257036478,0.8847797228708364,suburb
macquarie_park_temp_1h_average_c,1,0.9690606721433669,0.9476806012470109,suburb
macquarie_park_temp_1h_average_c,3,2.7830253373522233,0.8498272607987041,suburb
rouse_hill_temp_1h_average_c,1,0.5911602685016213,0.9662839603304942,suburb
rouse_hill_temp_1h_average_c,3,1.9264108163050662,0.890192058483197,suburb
lidcombe_temp_1h_average_c,1,0.575774190523998,0.9633661070879778,suburb
lidcombe_temp_1h_average_c,3,2.172892279404787,0.861830304022325,suburb
penrith_temp_1h_average_c,1,0.8144290645369646,0.96011523597685,suburb
penrith_temp_1h_average_c,3,2.6053839990648626,0.8724782277841655,suburb
sydney_wsp_1h_average_m_s,1,0.053527004322832895,0.9193677617897358,city
sydney_wsp_1h_average_m_s,3,0.17786459707899194,0.732156233066384,city
sydney_temp_1h_average_c,1,0.34377443927620527,0.980112566068304,city
sydney_temp_1h_average_c,3,1.7335111436175847,0.899774874201904,city
